player_name,image_url
brandon miller,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnt9WOANkq40fOnmsTT0RCKgYpnGnBdf0H6BOHqNahejF-QYISEmJkqNfwe8Q&s
malcolm brogdon,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvSF5rDb9GyHIyj7jENvgbNiF_kg9CDF6XMGj8j8IlMI85LywoNfHRLSaxah4&s
mike conley,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTihtw-7OxFdfa5zxMaQ_ezJ8uTM-dFSYcB-PFmHLbL4A6gekD5MWOwRzbo36E&s
Bojan Bogdanovic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-ataL-KkhgB2DXQ-e_sfzQnpCrd2xR7CNan5z-XbHVGHMkKbRIx5m5NwSKw&s
collin sexton,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTK8BsKenyV-RcE8AtwMQ3OqHh7Ng6PWulYU7TWlfKbbDLKZHrQ1j-07DGpQc&s
bennedict mathurin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvJfHiuOyDeZbn2qwJUvJXHdspUOrUhEGVGuXk-pUu5bwzQYbjIxY1vhzmuqo&s
jaden ivey,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPpL7QTri3KGCSEjcpycK79pwKiEcidVwBAN15pptEDeyuHgSr8dqakL8Hng&s
nic claxton,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5L1p48qEgkH7ANgAmIDI4NvLmAnUQT7dw4nSqTBZVQF-ZD606UitGgBAM0w&s
immanuel quickley,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRwiIQpHOOAavbgK2VViQ0TQ49x-esBh0M_0uVwCe0OB9S6uAQkThX5XwiK2Y&s
isaiah stewart,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW_Z1stSv5Pcvl9_cmHnltyT6x7rOTIakjleHfS4kgDXuBthigCuvGrr68WQ&s
russell westbrook,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgndmR733o3UY8C7NFoByyuAbBLRnuzZWkPDCpvwM3dG8BnDEpgbgHfiHi0L8&s
josh hart,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7Tltk0BBbwwSBrN08IhQZQtj9aLlr_n7jNYR5CsYY8gPVEDpCuOJI6sXfJw&s
herbert jones,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvqZ4ybrXEX4L8eoljAYpYcrZiYJyd5nt__2JEToJ-shQJIM1Uy7C3cSyp04o&s
Christian Wood,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTr3wWYsCcxKrsV9LC9NrRlREaRwRVngVi7vJXyfjj3hqZXli_MtkQn5zd5cg&s
Obi Toppin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRd_Ive9V8Gd5fN9As_lkpZLTv509ztECwJBoLVhcItLLYlXp3J-e53d33Gzg&s
dennis schröder,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTv1BwPasgME94T_rkzixihV_T9XAJ_-iHl_1mSEOuO3xmyjqwLXQprgxaRw4&s
Bogdan Bogdanovic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROuWzh9Wh2ICDjwxl2vRl3kKnMremcJZMNSQnKfYSTPNj2pydjnM5pKQ4aCA&s
trey murphy III,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSs66rKZoEQ65qgEp_uAHutlEJXyOL2Lqui59HTP5CO9N6J5XOq54lo1RItDw&s
steven adams,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT29a-sMmEv09r-lLSv0jCjeWA7BtBTL2Cz7xpJcmf1zoevgVpGdOP9A6mlEMo&s
saddiq bey,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEY9EeRe7Ewv9aY-nCTHZ9YcRLdzRe5TLRBF6hlv8H8oEp0cJSLeKWS7m7fQ&s
P.J. Washington,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrL3WBI1VDOREMo_ost901rmk1aSNtfxVRjXc_RpMIQ30i9y69km97o_PumhY&s
Kevon Looney,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG7hc7-TbTZaKSqqLJ-ttkF6-Lo2vGM2E19n8RYuSQJpMnOdzlNly7yjRscQ&s
Harrison Barnes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2WaXLE-MgGChar7qtVeBk-jUb9ARPY5kR2meBA6bo0ih7AhEnc9lkwu9cbw&s
Kyle Anderson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFF423AnXnKuofFmHVpCKAqmKz2yM_FooULzE5OgcQYRyrH2iSnpDewDmb-T4&s
Patrick Williams,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReRXI77fC04XDtHx4vWIy2Avs63ENkizk-JyI024nhwd9hNWno00Qao9_gFA&s
russell westbrook.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgndmR733o3UY8C7NFoByyuAbBLRnuzZWkPDCpvwM3dG8BnDEpgbgHfiHi0L8&s
Jarred Vanderbilt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhMlrBeiV8vS5H7eRao0ks7wzusypAvncvmyhqXtKAeXJYybJcKA953ntzkcM&s
Paul Reed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSxd2vYpIAkrTyZOoq5IoFV3aIVyizE8gpNFoQmKjyOoSIgx4iDO7KnR4g8K4&s
James Wiseman,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwqgZrmY1xpTBSvGhibuOmKJtBFa0OJxZB_peoMDPsggNUSqpTlFRE7wpyvw&s
Ausar Thompson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRhN3MXXqWRDupPcnl9hjK8seMug-wMPfMTWRG20xN8OCE6O0XDx5HBG0tQLA&s
Kentavious Caldwell-Pope,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHv4jB4DckUCTI9jr7p3NhICSvTZqvz9GM3GxOpg-zn-SXTPuZtFOCXjeLdQ&s
Jeremy Sochan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX35ICzwsSAVdwpWVoHC339VrH0k8UAPvABPtureg0c0vpBqFE3jVp4LxZ_A&s
Kelly Olynyk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfZ4IHeUUjjLe2kHw6gbssMvJC1TnG5QaP8PFDHgUIzQO8lFGDnvcRu8WeVWQ&s
Davion Mitchell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaTFJBE1P6G1GTkmDt326r8WHdgxOlMKKd7yPkKj63TY8dVMbQ4X3Va0QOtw&s
