player_name,youtube_url,image_url,10,20,11,29,23,24,25,26,27,,,,
john collins,https://www.youtube-nocookie.com/embed/LIzcIj0Lpyk?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfKPtB6NFeVs1IUj4PMizJUJX9Yb9SsooqVBytPKS7JU5dxXxsj6vzaRvPsA&s,0.517,0.798,1.1,14.4,7.1,1.5,0.6,1,1.1,,,,
bobby portis,https://www.youtube-nocookie.com/embed/qqusY3g9fQk?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNoFAsQeA5IIMLrHVMXZfF7QLrtaglod3xL7IXamRp8xo3Ghek1jNSeudG4kU&s,0.487,0.759,1.6,14.6,9.5,1.4,0.6,0.5,1.2,,,,
keldon johnson,https://www.youtube-nocookie.com/embed/lqSnY7YnNWs?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAgF7jd2LeqtMal23ve6oWTWICeQMtJsCVAYCIa-gqbPNgXPVhlK7_kZN3ng&s,0.463,0.753,1.9,18,4.9,2.3,0.7,0.2,1.5,,,,
derrick white,https://www.youtube-nocookie.com/embed/cWFCLckkCfQ?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHjpdP-SGPC2L4G5hPBeu9TsuoRrgmehGmvE5cgK4vHdztVpb6e8KRToMGiA&s,0.451,0.87,1.7,13,3.6,4,0.8,0.9,1.4,,,,
tre jones,https://www.youtube-nocookie.com/embed/bmQ2eCauC18?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4Ew-IIo-YP40fMGJnhzuqXXtqCfhUXQBdUX1g6XbB0qvYbp7-vquox4LGUg&s,0.469,0.831,0.5,12.1,3.8,6.4,1.2,0.2,1.5,,,,
shaedon sharpe,https://www.youtube-nocookie.com/embed/z-vco3PMuA0?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjEFR3wSkHfXabVJE4HiZJWTYsK5ZYEiWbbiNhISFy5nrS1RzVoU1DQwBwRfM&s,0.471,0.735,1.9,15.8,4.3,1.7,0.7,0.4,1.5,,,,
anfernee simons,https://www.youtube-nocookie.com/embed/NinIotGCeyc?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDOfIumzrEbp4q_36_6vuSFApwkjjWgBPTqB6_CdqpqNncDrJwCi25vQzRjxU&s,0.445,0.891,3.7,21.6,2.9,5.4,0.7,0.2,2.2,,,,
mark williams,https://www.youtube-nocookie.com/embed/vaDg3IdOv_U?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0WnLbg8DFRxe5wx0HqxUbNGef0sokGK6WUs4A6PeD9aCyNqEOOoq7mXSBpQ&s,0.637,0.692,0,12.6,9.9,0.6,0.9,1.4,1.3,,,,
zach collins,https://www.youtube-nocookie.com/embed/dfejkds8lCk?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRq-Ok3spdVJeL7nU45J4HI99Y2uQ6qgS6TVVTdtxko5x2gNogmyOqQ9gXWuQ&s,0.507,0.772,1,13.2,7.4,3.4,0.7,1,2.5,,,,
jalen williams,https://www.youtube-nocookie.com/embed/I_nyeESRckI?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuFnUI-aTLtyVvdHPqpARQEbaq1cz1nStqtr4k9BgV3rdhJWIaU026Wbl05w&s,0.521,0.811,1,15,4.8,3.5,1.5,0.5,1.7,,,,
jaden mcdaniels,https://www.youtube-nocookie.com/embed/soVNGJtGnTg?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgYRv1fOrEG4ECm_8omRkUEW2hZdgKE8B9uR8oxyUkbVfo5e5m3KrmC-8_1K8&s,0.492,0.755,1.4,11.8,4.4,1.7,0.9,1,1.4,,,,
aaron gordon,https://www.youtube-nocookie.com/embed/G1TjTpgjVmM?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfTHr6lEgD1eyLE3-dA3yT-euIzYokcnBrzWOo_WEKpGG9Zmh2GYN8tjnzlA&s,0.541,0.665,1.1,16,6.3,2.8,0.7,0.7,1.7,,,,
ben simmons,https://www.youtube-nocookie.com/embed/ZjmT8GUSWyo?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR19fcAC_OArs-JNVo8M1xpRllERIkptjAC4ebnUlKi82mCcEVrZt_CnA05NdE&s,0.553,0.438,0,8.5,6.3,6.2,1.3,0.6,2.3,,,,
ivica zubac,https://www.youtube-nocookie.com/embed/5PnHavx9BhA?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT81PNd1bfc1De7r9E9F13eHWeGjROUEpD7Lh1knB2FbTn1e9C1lBErPjWesr4&s,0.63,0.713,0,11.1,9.7,1.4,0.5,1.2,1.6,,,,
