player_name,youtube_url,image_url,FG%,FT%,3P,PTS,REB,AST,STL,BLK,TOV
Demar Derozan,https://www.youtube-nocookie.com/embed/yeC7Ld1IlGQ?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyciM4r7jW8dANHynyxgLOPQx-OassIqVUllVlsPCjP71_jbDcSBKWuPCAuw&s,0.504,0.87,0.6,24.7,4.6,4.9,1,0.4,2.1
Cade Cunningham,https://www.youtube-nocookie.com/embed/dPz7Z_EkWzE?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkxqbHxgcYwpjGNOW0Ec7YT4S9ciHb-qUdfPWitDrg7pGKHh5MmzC6dZaQQ_M&s,0.422,0.838,1.8,20.9,6.4,6.6,1.3,0.7,3.3
Evan Mobley,https://www.youtube-nocookie.com/embed/jTOobHbvBUE?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbtXe1gFvuYxB3KYkCNSmQFnh-yiOKBw2v0HYsLFweIXhyaSdRowhaDb02u4Q&s,0.551,0.682,0.3,17.2,9.3,2.9,0.9,1.7,1.9
Victor Wembanyama,https://www.youtube-nocookie.com/embed/dCIiLgHc6b4?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROuXP3hSPD78mPST2YCKXX4QZuA_SUiEwhkRGySgf0iZK0vy-A1XhsINiddw&s,0.454,0.779,1,17.3,8.2,1.8,0.7,2.3,1.8
Jrue Holiday,https://www.youtube-nocookie.com/embed/CqxyScFqAy8?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRW5DHIqxMIUtImSE6wZzWUXzDnLp5Hrm-JfUhjCDM2ZVxq-gB9MGgJSG96lCU&s,0.479,0.808,2.2,16.3,4.8,5.1,1.4,0.4,2.8
Chet Holmgren,https://www.youtube-nocookie.com/embed/TTXba4fNGRg?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQE524W5HgPu3vqcQjwwy2bE88d7BvBpxMa6JS0cB4vYmL840sb-JZI6oTJFA&s,0.48,0.752,1.3,14.3,9.2,1.6,0.5,2,1.2
Mikal Bridges,https://www.youtube-nocookie.com/embed/TevTth5GLus?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_sL9GvM-s6rKPDoFXUFHHw--2wMz1BJsdVjuRQf8MSBrI8F2fRcLP7dcc-bE&s,0.475,0.88,2.4,25.4,4.6,3.4,1.1,0.6,1.8
Deandre Ayton,https://www.youtube-nocookie.com/embed/5qX38aASa3s?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOXuq9TRV8Y_jhIV69_H7mj_MBHp37VD8F3-gpxNsRkSAvPv-gc50C-g33Jjo&s,0.582,0.756,0.1,18.9,10.1,1.7,0.7,0.8,1.8
Zach Lavine,https://www.youtube-nocookie.com/embed/zXVjhetGMzI?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZDrY2fFahuzMxPoLn2aAVp7Rw9MtiAu2P4Y74Xu151VVMi7lCoF9t2aIYZg&s,0.481,0.85,2.6,24.9,4.4,4.3,0.8,0.3,2.6
Tyrese Maxey,https://www.youtube-nocookie.com/embed/v2B6jUQnNoM?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTf4ne7INXnIa2iKrR6CXmao1KY-XXqDzarZGJWMaMjnZyPKVGWKQSGer45bw&s,0.485,0.857,2.9,21.5,3.3,4.4,0.8,0.3,1.3
Jarrett Allen,https://www.youtube-nocookie.com/embed/y2q0WLkXKLo?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIy3dFqk1h_vgstQH7xlCMG7ovGaqrrlgmu83Z8QSgO2t8ARDDnaWpxiT3-S8&s,0.659,0.719,0,14.1,9.7,1.5,0.7,1.2,1.4
Brandon Ingram,https://www.youtube-nocookie.com/embed/k30DyP_1eAA?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZKI1eMLYKcMvtjxStCn3t-2e-a4myzYAZGOL83L2AqU6y-lkzb0bB_Sfrq8E&s,0.472,0.851,1.3,23,5.5,5.5,0.7,0.4,2.9
Zion Williamson,https://www.youtube-nocookie.com/embed/Z5y0I1tLKNk?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_lqgEDYmGf97D5ISJ45Uac7BFste-9xPeHDwHXIw8V96Ldb2D8BYy655IjHM&s,0.606,0.705,0.2,25.3,6.8,4.5,1,0.5,3.4
Ja Morant,https://www.youtube-nocookie.com/embed/4P9TC7Ezrwg?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfVy8SMX-9fmkYMZ_mWETx_TADN0yLuM8gxfPcVIX47tcxfOqmYhkSUt2s6kY&s,0.474,0.754,1.5,26.5,5.8,7.1,1.1,0.3,3.4
Bradley Beal,https://www.youtube-nocookie.com/embed/J_qH67AnRhc?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxXWfjM_itQEcOtIiUCzVnIFJrSWyrIOn3zCk_QRHJcVh54cAhpD078O7jkuA&s,0.478,0.838,1.6,20.8,4.2,5.7,0.9,0.5,3.1
Franz Wagner,https://www.youtube-nocookie.com/embed/mYVHPa7gtpk?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTz3k2X_ussD5tNVke9BzdHcCkUyDzzjnz3l9aFIljZZv2yosEdnVMvU7GKGg&s,0.486,0.86,1.7,18.8,4.6,3.6,1.1,0.3,2
OG Anunoby,https://www.youtube-nocookie.com/embed/Xf6SHcuiEoI?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHQT174DWrt7mH8Sg_144azgrqEHv8GRsKKZxTgV7Ios_D7j3tDxcb61sPhfA&s,0.461,0.804,2.1,16.1,4.9,2.1,1.6,0.6,1.8
Tyler Herro,https://www.youtube-nocookie.com/embed/_uhmpHfZITI?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqT6Ty7HoQ-_1MJih5Jq5AQT-Hv8J3hTEQ66rpHbqEOGPPqgDCwsFEFRuAtE8&s,0.443,0.896,2.9,20.8,5.3,4.2,0.7,0.2,2.5
Jerami Grant,https://www.youtube-nocookie.com/embed/4VfojEg5S0A?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR74IFDFAI4aNT7VUNaKEFGu4Bd7wxo3KAdj36adsoUm9HrnZsg4VhTqrV8sjc&s,0.466,0.817,2.1,19.6,4.4,2.4,0.9,0.9,1.8
Scottie Barnes,https://www.youtube-nocookie.com/embed/iBll66FZcnQ?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3Uc7kEoZ8H8xshDH1kBj5OX42YMiFBxvsoD9l_c_e-lMg5U0dmSENhQb9GA&s,0.473,0.776,0.8,15,6.9,5.1,1.1,0.8,1.9
Josh Giddey,https://www.youtube-nocookie.com/embed/zvOB3P_vs7U?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoIuEd1U51yZi6kOVWdOPhMzhhFB0GMMHpEAQFGWCRnpVsWih-IYc2RkRuzw&s,0.478,0.723,1.1,17.3,8.1,6.5,0.9,0.4,3
Jordan Poole,https://www.youtube-nocookie.com/embed/i4OAL726ZuU?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2qkj1Z0iuEvAH7A2rHEJvGQ85RCChvJuJOsQoSBTi8ZKXrVd_MNQumcSOxbo&s,0.439,0.891,3,22,3.5,4.8,0.9,0.3,3.1
Jalen Brunson,https://www.youtube-nocookie.com/embed/3PHvmGBGCJQ?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMHpXPD1A1Z8m_OSOKKpNJEnFxC2NyTdDfr2wJdJxydYcqHJoPQPoYCeQrRg&s,0.492,0.832,2,24.2,3.7,6.5,1,0.2,2.2
Terry Rozier,https://www.youtube-nocookie.com/embed/REza6KbRd2Y?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRti5NsdH24GpSu33MNuZV2uepcGGw4WpEciNXINRqv0HHAlNvGWMIaq_w_Sw&s,0.43,0.827,2.8,19.6,4.1,4.6,1.2,0.3,1.7
Alperen Sengun,https://www.youtube-nocookie.com/embed/tlvmh-U10GQ?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRguraBbasXgdYrEq7f4p6vebIW_zE2UU4O9isj0jkuRjb1jCcQaE6ztYISXfA&s,0.545,0.72,0.5,15.6,9.1,4,1,1,2.8
Jamal Murray,https://www.youtube-nocookie.com/embed/UWNGw70EAfo?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFBPW0Y-EntCezk-AYHdc11hR4pLTZQ8XQsU-dRBYo8BUOrGWPuv97JRzEMNA&s,0.466,0.833,2.7,21,4.1,6.3,1,0.3,2.3
Buddy Hield,https://www.youtube-nocookie.com/embed/jd71rrDhh2c?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnxl93tcq3pKK2oMH3GPfIqm_xy8Onx9EuMzbt_j42fnIVNBe-fNOIOo-kaQ&s,0.447,0.848,3.1,15.2,4.3,2.6,0.9,0.3,1.7
Paolo Banchero,https://www.youtube-nocookie.com/embed/-ECjaB9ao4Y?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdu7pgBdA0YIhfqTiKb4-11vjRPi4NlwXOc12mfKVj8_34Qt7dgL9iL_YNP8E&s,0.443,0.752,1.3,21.5,7.5,4,1,0.7,2.8
Rudy Gobert,https://www.youtube-nocookie.com/embed/80laJat8plg?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQolfBf-eUjTcUb1a4k1nw_8ovEWQox_B-q4RklMehyMapWpZodOHtKAE3fHg&s,0.685,0.669,0,13.5,11.5,1.1,0.7,1.4,1.7
